NO,JUDUL BERITA,ISI BERITA,KATEGORI,TANGGAL UPLOAD,TAUTAN,clean_text,Cluster
11,Pemprov DKI Perbaiki 8 Tanggul Jebol di Jaksel Akibat Hujan Deras,Pemerintah Provinsi DKI Jakarta bergerak cepat memperbaiki delapan tanggul yang jebol dan longsor di wilayah Jakarta Selatan. Kerusakan tanggul ini disebabkan oleh intensitas hujan deras yang terjadi dalam beberapa hari terakhir. Perbaikan dilakukan menggunakan dana tak terduga (DTT) agar pengerjaan dapat selesai secepatnya. Upaya ini untuk mencegah banjir dan longsor susulan yang dapat membahayakan permukiman warga.,Infrastruktur & Bencana,2025-11-02 00:00:00,Pemprov DKI Perbaiki 8 Tanggul Jebol di Jaksel Pakai Dana Tak Terduga,perintah provinsi dki jakarta gerak cepat baik delapan tanggul jebol longsor wilayah jakarta selatan rusa tanggul sebab intensitas hujan deras jadi beberapa hari akhir baik laku guna dana tak duga dtt kerja selesai cepat upaya cegah banjir longsor susul bahaya mukim warga,0
12,KPK Panggil Sejumlah Pihak Terkait Penyelidikan Proyek Kereta Cepat,Komisi Pemberantasan Korupsi (KPK) memanggil sejumlah pihak untuk dimintai keterangan terkait penyelidikan kasus korupsi pada proyek Kereta Cepat Jakarta-Bandung (Whoosh). Pemanggilan ini adalah bagian dari upaya KPK mengumpulkan bukti dan mendalami dugaan penyalahgunaan anggaran. Penyelidikan ini berfokus pada potensi kerugian negara yang timbul dari proyek strategis nasional tersebut. KPK berkomitmen untuk mengusut tuntas dugaan rasuah pada proyek skala besar.,Hukum & Ekonomi,2025-11-01 00:00:00,KPK Panggil Sejumlah Pihak Terkait Penyelidikan Proyek Kereta Cepat,komisi berantas korupsi kpk panggil jumlah pihak minta terang kait lidi kasus korupsi proyek kereta cepat jakarta bandung whoosh panggil bagi upaya kpk kumpul bukti dalam duga penyalahgunaan anggar lidi fokus potensi rugi negara timbul proyek strategis nasional sebut kpk komitmen usut tuntas duga rasuah proyek skala besar,8
13,Putusan MK Wajibkan 30 Persen Perempuan di AKD DPR,Mahkamah Konstitusi (MK) mengeluarkan putusan yang mewajibkan adanya keterwakilan perempuan minimal 30 persen di setiap Alat Kelengkapan Dewan (AKD) DPR. Putusan ini disambut baik oleh berbagai fraksi sebagai langkah maju dalam kesetaraan gender di parlemen. DPR kini harus menyesuaikan aturan internalnya untuk menindaklanjuti putusan tersebut. Ketua Fraksi PAN menegaskan pihaknya menghormati putusan MK.,Politik & Hukum,2025-11-02 00:00:00,Ketua Fraksi PAN Sambut Putusan MK soal Keterwakilan Perempuan di DPR,mahkamah konstitusi keluar putus wajib ada wakil perempuan minimal persen alat lengkap dewan akd dpr putus sambut baik bagai fraksi langkah maju tara gender parlemen dpr kini sesuai atur internal menindaklanjuti putus sebut ketua fraksi pan tegas pihak hormat putus,7
14,Pria di Sibolga Tewas Dianiaya Gara-gara Tidur di Masjid,"Seorang pria di Sibolga, Sumatera Utara, tewas mengenaskan setelah dianiaya oleh sekelompok pria di dalam Masjid Agung Sibolga. Korban dianiaya hanya karena ia tidur di dalam masjid. Polisi telah berhasil menangkap tiga pelaku yang terlibat dalam pengeroyokan maut tersebut. Kasus ini menyoroti isu kekerasan dan keamanan di tempat ibadah.",Hukum & Kriminal,2025-11-02 00:00:00,"Pria di Sibolga Tewas Dianiaya gegara Tidur di Masjid, 3 Pelaku Ditangkap",orang pria sibolga sumatera utara tewas enas aniaya kelompok pria masjid agung sibolga korban aniaya tidur masjid polisi hasil tangkap tiga laku libat keroyok maut sebut kasus sorot isu keras aman tempat ibadah,4
15,"ADB Kucurkan Pinjaman Rp 2,99 T untuk Proyek Panas Bumi RI","Asian Development Bank (ADB) menyalurkan pinjaman senilai Rp 2,99 triliun untuk mendukung proyek pengembangan panas bumi di Indonesia. Dana ini akan digunakan untuk mempercepat transisi energi bersih dan meningkatkan pemanfaatan energi terbarukan. Pemerintah Indonesia berkomitmen untuk mencapai target Net Zero Emission (NZE). Pinjaman ini diharapkan dapat memacu investasi di sektor energi panas bumi.",Ekonomi & Energi,31 Oktober 2025,"ADB kucurkan pinjaman Rp2,99 triliun untuk proyek panas bumi RI",asi development bank adb salur pinjam nila triliun dukung proyek kembang panas bumi indonesia dana guna cepat transisi energi bersih tingkat manfaat energi baru perintah indonesia komitmen capai target net zero emission nze pinjam harap pacu investasi sektor energi panas bumi,3
16,PKS Tegaskan Dukungan Terhadap Program Presiden Prabowo,"Presiden Partai Keadilan Sejahtera (PKS) menegaskan partainya akan memberikan dukungan penuh terhadap program-program yang dijalankan oleh Presiden Prabowo Subianto. Dukungan ini diberikan demi kepentingan bangsa dan negara, meskipun PKS berada di luar koalisi pemerintahan. PKS berharap sinergi antara pemerintah dan partai oposisi dapat mempercepat pembangunan nasional. Pernyataan ini disampaikan dalam Bimteknas PKS.",Politik,31 Oktober 2025,Presiden PKS tegaskan dukungan terhadap program Presiden Prabowo,presiden partai adil sejahtera pks tegas partai beri dukung penuh program program jalan presiden prabowo subianto dukung beri penting bangsa negara meski pks ada luar koalisi perintah pks harap sinergi perintah partai oposisi cepat bangun nasional nyata sampai bimteknas pks,1
17,Jasa Marga Minta Maaf Gangguan Lalu Lintas Pemeliharaan Tol,"PT Jasa Marga (Persero) Tbk. menyampaikan permintaan maaf kepada pengguna jalan atas gangguan lalu lintas yang terjadi akibat pekerjaan pemeliharaan di beberapa ruas jalan tol. Pemeliharaan ini penting untuk menjaga kualitas jalan dan keselamatan pengguna. Jasa Marga berjanji akan mengatur waktu pengerjaan, terutama pada malam hari, untuk meminimalisir dampak kemacetan. Pengguna jalan diimbau untuk mencari informasi rute alternatif.",Infrastruktur & Transportasi,31 Oktober 2025,Jasamarga minta maaf gangguan lalu lintas dalam pemeliharaan jalan tol,jasa marga persero tbk sampai minta maaf guna jalan atas ganggu lalu lintas jadi akibat kerja pelihara beberapa ruas jalan tol pelihara penting jaga kualitas jalan selamat guna jasa marga janji atur waktu kerja utama malam hari meminimalisir dampak macet guna jalan imbau cari informasi rute alternatif,8
18,Polisi Usut Dugaan Pemalsuan Nampan Program MBG di Jakarta Utara,Polres Metro Jakarta Utara sedang mendalami adanya dugaan pemalsuan nampan atau ompreng yang digunakan untuk program Makan Bergizi Gratis (MBG). Penyelidikan ini berawal dari adanya aduan masyarakat tentang kegiatan di sebuah ruko di kawasan Jakarta Utara. Polisi telah melakukan pemeriksaan awal dan berkomitmen untuk menindak tegas pihak-pihak yang mencoba mengambil keuntungan dari program pemerintah.,Hukum & Sosial,2025-11-01 00:00:00,Polisi Geledah Ruko di Jakarta Utara yang Diduga Palsukan Nampan MBG,polres metro jakarta utara sedang dalam ada duga palsu nampan ompreng guna program makan gizi gratis mbg lidi awal ada adu masyarakat giat buah ruko kawasan jakarta utara polisi laku periksa awal komitmen tindak tegas pihak pihak coba ambil untung program perintah,4
19,"Inflasi Indonesia Terkendali, Capai Target 2,8% YoY","Badan Pusat Statistik (BPS) merilis data inflasi tahunan (yoy) terbaru yang menunjukkan angka 2,8 persen, masih dalam rentang target Bank Indonesia (BI). Inflasi yang terkendali ini didorong oleh stabilnya harga pangan dan kelancaran distribusi logistik. Pemerintah terus berupaya menjaga stabilitas harga melalui Tim Pengendali Inflasi Daerah (TPID). Capaian ini menjadi indikator positif bagi pertumbuhan ekonomi nasional.",Ekonomi & Statistik,2025-11-01 00:00:00,"Inflasi Indonesia Terkendali di Level 2,8 Persen",badan pusat statistik bps rilis data inflasi tahun yoy baru tunjuk angka persen rentang target bank indonesia inflasi kendali dorong stabil harga pangan lancar distribusi logistik perintah terus upaya jaga stabilitas harga lalu tim kendali inflasi daerah tpid capai jadi indikator positif tumbuh ekonomi nasional,1
20,Kepala BNPT Tegaskan Peran Sekolah dalam Cegah Terorisme,Kepala Badan Nasional Penanggulangan Terorisme (BNPT) menekankan pentingnya peran sekolah sebagai wadah utama pembentukan karakter bangsa. Pendidikan di sekolah harus mampu menanamkan nilai-nilai kebangsaan dan toleransi untuk mencegah masuknya paham radikalisme. BNPT terus bekerja sama dengan Kementerian Pendidikan untuk menguatkan kurikulum pencegahan terorisme. Upaya ini merupakan strategi jangka panjang untuk menjaga keutuhan NKRI.,Politik & Keamanan,2025-11-01 00:00:00,BNPT: Sekolah Jadi Wadah Pembentukan Karakter Bangsa Cegah Terorisme,kepala badan nasional tanggulang terorisme bnpt tekan penting peran sekolah wadah utama bentuk karakter bangsa didik sekolah mampu tanam nilai nilai bangsa toleransi cegah masuk paham radikalisme bnpt terus kerja sama menteri didik kuat kurikulum cegah terorisme upaya rupa strategi jangka panjang jaga utuh nkri,6
21,"IHSG Ditutup Menguat, Ditopang Sentimen Positif Insentif BI","Indeks Harga Saham Gabungan (IHSG) berhasil ditutup menguat signifikan, bergerak melawan tren pelemahan bursa regional Asia. Penguatan ini didorong oleh sentimen positif dari pemberian insentif likuiditas oleh Bank Indonesia (BI) kepada perbankan. Insentif ini bertujuan untuk mendorong penyaluran kredit dan menjaga stabilitas sistem keuangan. Kinerja positif IHSG menunjukkan kepercayaan pasar domestik masih cukup tinggi.",Ekonomi & Pasar Modal,29 Oktober 2025,IHSG ditutup menguat seiring sentimen positif insentif BI ke bank,indeks harga saham gabung ihsg hasil tutup kuat signifikan gerak lawan tren lemah bursa regional asia kuat dorong sentimen positif beri insentif likuiditas bank indonesia perban insentif tuju dorong salur kredit jaga stabilitas sistem uang kerja positif ihsg tunjuk percaya pasar domestik cukup tinggi,1
22,"Penyaluran KUR Capai Rp 220 Triliun, Serap 11 Juta Tenaga Kerja",Kementerian Koordinator Bidang Perekonomian melaporkan realisasi penyaluran Kredit Usaha Rakyat (KUR) telah mencapai Rp 220 triliun hingga kuartal III tahun ini. Capaian ini berhasil menyerap sekitar 11 juta tenaga kerja baru di sektor UMKM. Pemerintah berkomitmen untuk terus meningkatkan alokasi KUR demi memperkuat pelaku usaha mikro. Program KUR menjadi instrumen penting untuk pemerataan ekonomi dan penciptaan lapangan kerja.,Ekonomi & UMKM,30 Oktober 2025,"Penyaluran KUR capai Rp220 triliun, serap 11 juta tenaga kerja",menteri koordinator bidang ekonomi lapor realisasi salur kredit usaha rakyat kur capai triliun hingga kuartal iii tahun capai hasil serap juta tenaga kerja baru sektor umkm perintah komitmen terus tingkat alokasi kur kuat laku usaha mikro program kur jadi instrumen penting perata ekonomi cipta lapang kerja,2
23,Kemenhub Kelola Proyek Pelabuhan Palembang Baru Perkuat Logistik,Kementerian Perhubungan (Kemenhub) terus mengelola dan memantau proyek pembangunan Pelabuhan Palembang Baru atau Tanjung Carat. Proyek ini strategis untuk memperkuat sistem logistik di wilayah Sumatera bagian selatan. Pembangunan pelabuhan baru ini diharapkan dapat menampung kapal yang lebih besar dan mengurangi biaya logistik. Kemenhub memastikan percepatan pembangunan dilakukan sesuai target yang ditetapkan.,Infrastruktur & Logistik,31 Oktober 2025,Kemenhub kelola proyek Pelabuhan Palembang Baru guna perkuat logistik,menteri hubung kemenhub terus kelola pantau proyek bangun labuh palembang baru tanjung carat proyek strategis kuat sistem logistik wilayah sumatera bagi selatan bangun labuh baru harap tampung kapal lebih besar kurang biaya logistik kemenhub pasti cepat bangun laku sesuai target tetap,2
24,Ketua Umum PSSI Apresiasi Keamanan Konser BLACKPINK di GBK,Ketua Umum Persatuan Sepak Bola Seluruh Indonesia (PSSI) memberikan apresiasi tinggi kepada aparat keamanan yang berhasil menjaga ketertiban Konser BLACKPINK di Gelora Bung Karno (GBK). Konser berjalan lancar dan tertib tanpa adanya insiden besar yang mengganggu. Keberhasilan pengamanan ini menunjukkan Indonesia mampu menyelenggarakan event internasional dengan baik. PSSI berharap GBK dapat terus menjadi venue yang aman dan nyaman untuk berbagai acara besar.,Keamanan & Hiburan,2025-11-02 00:00:00,"Penonton Konser BLACKPINK Bubar, Lalin Sekitar GBK Lancar",ketua umum satu sepak bola seluruh indonesia pssi beri apresiasi tinggi aparat aman hasil jaga tertib konser blackpink gelora bung karno gbk konser jalan lancar tertib ada insiden besar ganggu hasil aman tunjuk indonesia mampu selenggara event internasional baik pssi harap gbk terus jadi venue aman nyaman bagai acara besar,0
25,Pemprov Kaji Lagi Pemulangan WNI di Kamp Suriah dengan Kehati-hatian,"Pemerintah Indonesia, melalui kementerian terkait, sedang mengkaji ulang kebijakan pemulangan Warga Negara Indonesia (WNI) yang berada di kamp-kamp pengungsian di Suriah. Kajian ini mempertimbangkan asas kehati-hatian, terutama terkait faktor keamanan dan potensi keterlibatan ideologi radikal. Pemerintah harus memastikan bahwa WNI yang dipulangkan tidak menjadi ancaman bagi keamanan domestik. Program deradikalisasi yang ketat akan disiapkan bagi mereka yang kembali.",Internasional & Keamanan,2025-11-01 00:00:00,"Pemerintah Kaji Lagi Pemulangan WNI di Kamp Suriah, Pertimbangkan Asas Kehati-hatian",perintah indonesia lalu menteri kait sedang kaji ulang bijak pulang warga negara indonesia wni ada kamp kamp ungsi suriah kaji timbang asas hati hati utama kait faktor aman potensi libat ideologi radikal perintah pasti wni pulang jadi ancam aman domestik program deradikalisasi ketat siap,3
26,Suara JK dan Arsjad Suarakan Masjid Jadi Pusat Sosial-Ekonomi di Roma,"Wakil Presiden ke-10 dan ke-12 RI, Jusuf Kalla (JK), bersama Arsjad Rasjid menyuarakan peran masjid sebagai pusat kegiatan sosial dan ekonomi, bukan hanya tempat ibadah, dalam sebuah forum di Roma. Mereka menekankan bahwa masjid harus mampu memberdayakan umat dan masyarakat sekitarnya. Gagasan ini mendorong fungsi masjid sebagai lembaga yang berkontribusi pada peningkatan kesejahteraan. Pesan ini relevan untuk pengembangan ekonomi syariah di Indonesia.",Sosial & Internasional,2025-11-02 00:00:00,"Di Roma, Arsjad hingga JK Suarakan Masjid Jadi Pusat Sosial-Ekonomi",wakil presiden jusuf kalla sama arsjad rasjid suara peran masjid pusat giat sosial ekonomi bukan tempat ibadah buah forum roma tekan masjid mampu daya umat masyarakat sekitar gagas dorong fungsi masjid lembaga kontribusi tingkat sejahtera pesan relevan kembang ekonomi syariah indonesia,4
27,"Presiden Prabowo Pimpin Ratas, Optimistis Target MBG Tercapai","Presiden Prabowo Subianto memimpin Rapat Terbatas (Ratas) di Istana untuk membahas program Makan Bergizi Gratis (MBG). Presiden menyatakan optimisme bahwa target 82,9 juta penerima manfaat program MBG akan tercapai sesuai jadwal. Ratas ini fokus pada koordinasi antar kementerian/lembaga untuk memastikan efisiensi dan transparansi dalam pelaksanaan program. MBG merupakan salah satu program unggulan pemerintah yang menjadi prioritas utama.",Politik & Pemerintahan,29 Oktober 2025,"Presiden Prabowo Pimpin Ratas di Istana, Optimistis Target 82,9 Juta Penerima Manfaat MBG Tercapai",presiden prabowo subianto pimpin rapat batas ratas istana bahas program makan gizi gratis mbg presiden nyata optimisme target juta terima manfaat program mbg capai sesuai jadwal ratas fokus koordinasi antar menteri lembaga pasti efisiensi transparansi laksana program mbg rupa salah satu program unggul perintah jadi prioritas utama,1
28,Polisi Usut Penemuan Dua Kerangka Manusia di Gedung Kwitang,"Kepolisian masih mendalami misteri penemuan dua kerangka manusia di dalam sebuah gedung kosong di kawasan Kwitang, Jakarta Pusat. Proses identifikasi dilakukan melalui pencocokan data gigi dan Tes DNA yang hasilnya diperkirakan keluar pekan depan. Polisi juga menghubungkan temuan ini dengan laporan kehilangan dua orang mahasiswa saat aksi demonstrasi Agustus lalu. Penyelidikan masih berjalan untuk mengungkap identitas korban dan penyebab kematian.",Hukum & Kriminal,2025-11-02 00:00:00,Hasil Tes DNA 2 Kerangka Manusia di Gedung Kwitang Keluar Pekan Depan,polisi dalam misteri temu kerangka manusia buah gedung kosong kawasan kwitang jakarta pusat proses identifikasi laku lalu cocok data gigi tes dna hasil kira keluar pekan depan polisi hubung temu lapor hilang orang mahasiswa aksi demonstrasi agustus lalu lidi jalan ungkap identitas korban sebab mati,4
29,"Pemerintah Rencanakan Terapkan PPh Final UMKM 0,5 Persen Tanpa Batas Waktu","Pemerintah sedang mengkaji rencana untuk menerapkan Pajak Penghasilan (PPh) Final bagi UMKM sebesar 0,5 persen tanpa batasan jangka waktu. Kebijakan ini merupakan upaya untuk memberikan kepastian hukum dan insentif perpajakan jangka panjang bagi pelaku UMKM. Relaksasi pajak ini diharapkan dapat mendorong pertumbuhan dan kepatuhan pajak di sektor usaha mikro. Kemenkeu menekankan pentingnya UMKM sebagai tulang punggung ekonomi nasional.",Ekonomi & Perpajakan,2025-11-02 00:00:00,"Pemerintah Berencana Terapkan PPh Final UMKM 0,5 Persen Tanpa Batas Waktu",perintah sedang kaji rencana terap pajak hasil pph final umkm besar persen batas jangka waktu bijak rupa upaya beri pasti hukum insentif paja jangka panjang laku umkm relaksasi pajak harap dorong tumbuh patuh pajak sektor usaha mikro kemenkeu tekan penting umkm tulang punggung ekonomi nasional,3
30,"Dirut SIG Catat Pendapatan Rp 25,30 Triliun hingga Kuartal III","Direktur Utama PT Semen Indonesia (Persero) Tbk. (SIG) melaporkan bahwa perusahaan mencatat pendapatan konsolidasi sebesar Rp 25,30 triliun hingga kuartal III 2025. Kinerja positif ini ditopang oleh efisiensi operasional dan peningkatan permintaan semen domestik. SIG berhasil menjaga posisi pasar di tengah tantangan industri konstruksi. Capaian ini menjadi indikasi pemulihan di sektor infrastruktur.",Ekonomi & BUMN,31 Oktober 2025,"SIG catat pendapatan sebesar Rp25,30 triliun hingga kuartal III",direktur utama semen indonesia persero tbk sig lapor usaha catat dapat konsolidasi besar triliun hingga kuartal iii kerja positif topang efisiensi operasional tingkat minta semen domestik sig hasil jaga posisi pasar tengah tantang industri konstruksi capai jadi indikasi pulih sektor infrastruktur,8
31,Presiden Prabowo Tegaskan Polri Harus Jadi Polisi Rakyat,"Presiden Prabowo Subianto menegaskan bahwa Polri harus menjadi 'Polisi Rakyat' dan garda terdepan dalam melawan kejahatan demi menjaga keamanan masyarakat. Hal ini disampaikan dalam apel yang dihadiri jajaran petinggi kepolisian. Presiden menekankan pentingnya integritas, profesionalitas, dan kedekatan Polri dengan masyarakat. Arahan ini menjadi komitmen pemerintah untuk reformasi institusi kepolisian.",Politik & Keamanan,29 Oktober 2025,"Presiden Prabowo Tegaskan Polri Harus Jadi Polisi Rakyat, Garda Terdepan Melawan Kejahatan",presiden prabowo subianto tegas polri jadi polisi rakyat garda depan lawan jahat jaga aman masyarakat sampai apel hadir jajar petinggi polisi presiden tekan penting integritas profesionalitas dekat polri masyarakat arah jadi komitmen perintah reformasi institusi polisi,1
32,Kemenhub Perkuat Keselamatan Penerbangan Nasional Lewat MOR-VRS,Kementerian Perhubungan (Kemenhub) memperkuat keselamatan penerbangan nasional melalui penerapan Manual of Standards for Visual Rules Flight (MOR-VRS). Regulasi baru ini bertujuan untuk meningkatkan standar operasional penerbangan yang aman di wilayah udara Indonesia. Kemenhub terus berupaya mencapai standar keselamatan penerbangan internasional. Peningkatan ini penting mengingat tingginya mobilitas udara di Indonesia.,Transportasi & Regulasi,31 Oktober 2025,Kemenhub perkuat keselamatan penerbangan nasional lewat MOR-VRS,menteri hubung kemenhub kuat selamat terbang nasional lalu terap manual standards for visual rules flight mor vrs regulasi baru tuju tingkat standar operasional terbang aman wilayah udara indonesia kemenhub terus upaya capai standar selamat terbang internasional tingkat penting ingat tinggi mobilitas udara indonesia,2
